title,imdb_id,genre,rating,votes
Breaking Bad,tt0903747,"Crime, Drama, Thriller",9.5,2358175
Planet Earth II,tt5491994,Documentary,9.4,167602
Planet Earth,tt0795176,"Documentary, Family",9.4,228340
Band of Brothers,tt0185906,"Action, Drama, History",9.4,566742
Chernobyl,tt7366338,"Drama, History, Thriller",9.3,960779
The Wire,tt0306414,"Crime, Drama, Thriller",9.3,407170
Avatar: The Last Airbender,tt0417299,"Animation, Action, Adventure",9.3,410683
The Sopranos,tt0141842,"Crime, Drama",9.2,532719
Blue Planet II,tt6769208,Documentary,9.3,52500
Cosmos: A Spacetime Odyssey,tt2395695,Documentary,9.2,134887
Cosmos,tt0081846,Documentary,9.3,48426
Our Planet,tt9253866,Documentary,9.2,57482
Game of Thrones,tt0944947,"Action, Adventure, Drama",9.2,2453585
Bluey,tt7678620,"Animation, Family",9.3,39751
The World at War,tt0071075,"Documentary, History, War",9.2,33474
Hagane no renkinjutsushi,tt1355642,"Animation, Action, Adventure",9.1,224695
Life,tt1533395,Documentary,9.1,46128
The Last Dance,tt8420184,"Documentary, Biography, History",9.0,168593
Rick and Morty,tt2861424,"Animation, Adventure, Comedy",9.1,658893
Shingeki no Kyojin,tt2560140,"Animation, Action, Adventure",9.1,624892
The Twilight Zone,tt0052520,"Drama, Fantasy, Horror",9.0,101641
The Vietnam War,tt1877514,"Documentary, History, War",9.1,31987
Sherlock,tt1475582,"Crime, Drama, Mystery",9.0,1054174
Batman: The Animated Series,tt0103359,"Animation, Action, Adventure",9.0,128393
Arcane: League of Legends,tt11126994,"Animation, Action, Adventure",9.0,402890
Better Call Saul,tt3032476,"Crime, Drama",9.0,744110
The Office,tt0386676,Comedy,9.0,783056
The Blue Planet,tt0296310,Documentary,9.0,46187
Clarkson&apos;s Farm,tt10541088,"Documentary, Comedy, Reality-TV",9.0,75902
Scam 1992: The Harshad Mehta Story,tt12392504,"Biography, Crime, Drama",9.2,165850
Frozen Planet,tt2092588,Documentary,9.0,36060
Human Planet,tt1806234,Documentary,9.0,30236
Hunter x Hunter,tt2098220,"Animation, Action, Adventure",9.0,167985
Only Fools and Horses,tt0081912,Comedy,9.0,61344
Firefly,tt0303461,"Adventure, Drama, Sci-Fi",8.9,292246
The Civil War,tt0098769,"Documentary, History, War",9.0,21815
Death Note: Desu nôto,tt0877057,"Animation, Crime, Drama",8.9,432987
Gravity Falls,tt1865718,"Animation, Adventure, Comedy",8.9,159952
Gibi,tt13675832,Comedy,9.0,30505
Seinfeld,tt0098904,Comedy,8.9,371211
Dekalog,tt0092337,Drama,8.9,31182
The Pitt,tt31938062,Drama,8.9,58034
The Beatles: Get Back,tt9735318,"Documentary, Biography, Music",8.9,32726
True Detective,tt2356777,"Crime, Drama, Mystery",8.9,710568
Kaubôi bibappu: Cowboy Bebop,tt0213338,"Animation, Action, Adventure",8.9,156085
Nathan for You,tt2297757,"Documentary, Comedy",8.9,44663
Fargo,tt2802850,"Crime, Drama, Thriller",8.8,447545
Sahsiyet,tt7920978,"Crime, Drama, Mystery",9.0,52249
Sôsô no Furîren,tt22248376,"Animation, Adventure, Comedy",8.9,46291
Taskmaster,tt4934214,"Comedy, Game-Show",9.0,25554
Apocalypse: La 2ème guerre mondiale,tt1508238,"Documentary, History, War",9.0,16964
Africa,tt2571774,Documentary,8.9,19518
When They See Us,tt7137906,"Biography, Crime, Drama",8.8,149499
Friends,tt0108778,"Comedy, Romance",8.9,1151642
Last Week Tonight with John Oliver,tt3530232,"Comedy, News, Talk-Show",8.8,100544
It&apos;s Always Sunny in Philadelphia,tt0472954,Comedy,8.8,268380
The West Wing,tt0200276,Drama,8.9,92721
Succession,tt7660850,"Comedy, Drama",8.8,322806
TVF Pitchers,tt4742876,"Comedy, Drama",9.1,76032
One Piece: Wan pîsu,tt0388629,"Animation, Action, Adventure",9.0,303129
Curb Your Enthusiasm,tt0264235,Comedy,8.8,158448
Monty Python&apos;s Flying Circus,tt0063929,Comedy,8.8,83025
Das Boot,tt0081834,"Drama, War",8.8,36536
BoJack Horseman,tt3398228,"Animation, Comedy, Drama",8.8,213311
Fawlty Towers,tt0072500,Comedy,8.8,105832
Panchayat,tt12004706,"Comedy, Drama",9.0,108607
Bleach: Sennen Kessen-hen,tt14986406,"Animation, Action, Adventure",9.0,62852
Dragon Ball Z,tt0214341,"Animation, Action, Adventure",8.8,164312
The Chosen,tt5622316,"Drama, History",9.1,60097
Blackadder Goes Forth,tt0096548,"Comedy, War",8.8,60966
Pokssak Sogatsuda,tt26471411,"Drama, History, Romance",9.1,23152
Leyla ile Mecnun,tt1831164,"Adventure, Comedy, Drama",9.0,100108
Freaks and Geeks,tt0193676,"Comedy, Drama",8.8,160616
Pride and Prejudice,tt0112130,"Drama, Romance",8.8,98986
