tv_show,season,episode,title,rating,votes,release_date
Breaking Bad,1,1,Pilot,9.0,52982,2008-01-20
Breaking Bad,1,2,Cat's in the Bag...,8.6,38816,2008-01-27
Breaking Bad,1,3,...And the Bag's in the River,8.7,37455,2008-02-10
Breaking Bad,1,4,Cancer Man,8.2,35913,2008-02-17
Breaking Bad,1,5,Gray Matter,8.3,35289,2008-02-24
Breaking Bad,1,6,Crazy Handful of Nothin',9.3,41532,2008-03-02
Breaking Bad,1,7,A No-Rough-Stuff-Type Deal,8.8,36189,2008-03-09
Breaking Bad,2,1,Seven Thirty-Seven,8.6,32759,2009-03-08
Breaking Bad,2,2,Grilled,9.3,37434,2009-03-15
Breaking Bad,2,3,Bit by a Dead Bee,8.3,31398,2009-03-22
Breaking Bad,2,4,Down,8.2,31450,2009-03-29
Breaking Bad,2,5,Breakage,8.2,30669,2009-04-05
Breaking Bad,2,6,Peekaboo,8.8,33427,2009-04-12
Breaking Bad,2,7,Negro y Azul,8.6,30901,2009-04-19
Breaking Bad,2,8,Better Call Saul,9.2,36618,2009-04-26
Breaking Bad,2,9,4 Days Out,9.2,34897,2009-05-03
Breaking Bad,2,10,Over,8.4,30084,2009-05-10
Breaking Bad,2,11,Mandala,8.9,30993,2009-05-17
Breaking Bad,2,12,Phoenix,9.3,35037,2009-05-24
Breaking Bad,2,13,ABQ,9.2,34107,2009-05-31
Breaking Bad,3,1,No Más,8.5,29673,2010-03-21
Breaking Bad,3,2,Caballo sin Nombre,8.6,29066,2010-03-28
Breaking Bad,3,3,I.F.T.,8.4,28774,2010-04-04
Breaking Bad,3,4,Green Light,8.1,28880,2010-04-11
Breaking Bad,3,5,Más,8.5,28195,2010-04-18
Breaking Bad,3,6,Sunset,9.3,32688,2010-04-25
Breaking Bad,3,7,One Minute,9.6,39909,2010-05-02
Breaking Bad,3,8,I See You,8.7,29027,2010-05-09
Breaking Bad,3,9,Kafkaesque,8.4,28480,2010-05-16
Breaking Bad,3,10,Fly,7.9,55268,2010-05-23
Breaking Bad,3,11,Abiquiu,8.4,28397,2010-05-30
Breaking Bad,3,12,Half Measures,9.5,39079,2010-06-06
Breaking Bad,3,13,Full Measure,9.7,44605,2010-06-13
Breaking Bad,4,1,Box Cutter,9.2,34870,2011-07-17
Breaking Bad,4,2,Thirty-Eight Snub,8.2,29005,2011-07-24
Breaking Bad,4,3,Open House,8.0,29562,2011-07-31
Breaking Bad,4,4,Bullet Points,8.5,28074,2011-08-07
Breaking Bad,4,5,Shotgun,8.6,28132,2011-08-14
Breaking Bad,4,6,Cornered,8.4,28355,2011-08-21
Breaking Bad,4,7,Problem Dog,8.8,29452,2011-08-28
Breaking Bad,4,8,Hermanos,9.3,33094,2011-09-04
Breaking Bad,4,9,Bug,8.9,29889,2011-09-11
Breaking Bad,4,10,Salud,9.6,41395,2011-09-18
Breaking Bad,4,11,Crawl Space,9.7,49039,2011-09-25
